Player,Rush Yds,Att,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM,Year,pro_bowl
Adrian Peterson,1298,283,12,9,2,80,70,24.7,1,2010,1
Ahmad Bradshaw,1235,276,8,13,2,48,61,22.1,7,2010,0
Peyton Hillis,1177,270,11,5,1,48,57,21.1,8,2010,0
Thomas Jones,896,245,6,3,1,70,39,15.9,3,2010,0
Matt Forte,1069,237,6,9,2,68,42,17.7,0,2010,0
Jamaal Charles,1467,230,5,10,3,80,70,30.4,2,2010,1
BenJarvus Green-Ellis,1008,229,13,4,0,33,62,27.1,0,2010,0
Darren McFadden,1157,223,7,14,4,57,45,20.2,3,2010,0
Fred Jackson,927,222,5,6,0,39,42,18.9,4,2010,0
LaDainian Tomlinson,914,219,6,5,0,31,42,19.2,2,2010,0
LeSean McCoy,1080,207,7,7,5,62,48,23.2,1,2010,0
Frank Gore,853,203,3,6,1,64,42,20.7,3,2010,0
Marshawn Lynch,737,202,6,5,0,39,38,18.8,2,2010,0
LeGarrette Blount,1007,201,6,10,3,53,38,18.9,3,2010,0
Ronnie Brown,734,200,5,1,1,51,40,20.0,3,2010,0
Brandon Jackson,703,190,3,2,1,71,27,14.2,1,2010,0
Shonn Greene,766,185,2,1,0,23,40,21.6,2,2010,0
Maurice Jones-Drew,1606,343,8,9,3,56,75,21.9,3,2011,1
Michael Turner,1340,301,11,11,4,81,62,20.6,3,2011,0
Ray Rice,1364,291,12,9,5,70,52,17.9,2,2011,1
Marshawn Lynch,1204,285,12,4,2,47,63,22.1,3,2011,0
Frank Gore,1211,282,8,11,3,55,53,18.8,2,2011,1
Arian Foster,1224,278,10,7,2,43,58,20.9,4,2011,1
Cedric Benson,1067,273,6,4,1,42,53,19.4,5,2011,0
LeSean McCoy,1309,273,17,14,2,60,84,30.8,1,2011,1
Chris Johnson,1047,262,4,11,1,48,47,17.9,3,2011,0
Steven Jackson,1145,260,5,6,2,47,50,19.2,1,2011,0
Michael Bush,977,256,7,5,1,44,53,20.7,1,2011,0
Shonn Greene,1054,253,6,4,0,31,46,18.2,1,2011,0
Willis McGahee,1199,249,4,10,1,60,52,20.9,3,2011,0
Chris Wells,1047,245,10,5,2,71,48,19.6,4,2011,0
Rashard Mendenhall,928,228,9,3,2,68,45,19.7,1,2011,0
Ryan Mathews,1091,222,6,9,0,39,52,23.4,5,2011,0
Reggie Bush,1086,216,6,7,1,76,40,18.5,4,2011,0
Adrian Peterson,970,208,12,7,3,54,49,23.6,1,2011,0
Matt Forte,997,203,3,12,4,46,40,19.7,1,2011,1
LeGarrette Blount,781,184,5,4,1,54,32,17.4,3,2011,0
BenJarvus Green-Ellis,667,181,11,0,0,18,41,22.6,0,2011,0
Ben Tate,942,175,4,6,2,56,52,29.7,4,2011,0
Ahmad Bradshaw,659,171,9,3,0,37,42,24.6,0,2011,0
Fred Jackson,934,170,6,10,3,80,40,23.5,2,2011,0
Daniel Thomas,581,165,0,2,0,28,24,14.6,2,2011,0
Arian Foster,1424,351,15,9,1,46,78,22.2,3,2012,1
Adrian Peterson,2097,348,12,27,8,82,85,24.4,3,2012,1
Alfred Morris,1613,335,13,9,0,39,83,24.8,4,2012,0
Doug Martin,1454,319,11,11,5,70,58,18.2,1,2012,0
Marshawn Lynch,1590,315,11,9,2,77,68,21.6,4,2012,1
Stevan Ridley,1263,290,12,6,1,41,82,28.3,4,2012,0
Jamaal Charles,1509,285,5,11,5,91,62,21.8,5,2012,1
BenJarvus Green-Ellis,1094,278,6,7,2,48,54,19.4,3,2012,0
Shonn Greene,1063,276,8,2,0,36,52,18.8,3,2012,0
Chris Johnson,1243,276,6,8,3,94,45,16.3,3,2012,0
Trent Richardson,950,267,11,2,0,32,36,13.5,3,2012,0
Frank Gore,1214,258,8,7,0,37,67,26.0,2,2012,1
Steven Jackson,1045,258,4,5,1,46,47,18.2,0,2012,0
Ray Rice,1143,257,9,5,2,46,51,19.8,1,2012,1
Matt Forte,1094,248,5,6,1,46,45,18.2,2,2012,0
Reggie Bush,986,227,6,6,2,65,43,18.9,4,2012,0
Michael Turner,800,222,10,5,1,43,40,18.0,3,2012,0
Ahmad Bradshaw,1015,221,6,4,0,37,56,25.3,3,2012,0
Darren McFadden,707,216,2,4,1,64,33,15.3,1,2012,0
Mikel Leshoure,798,215,9,0,0,16,46,21.4,3,2012,0
Vick Ballard,814,211,2,4,0,26,50,23.7,3,2012,0
C.J. Spiller,1244,207,6,12,5,62,52,25.1,2,2012,0
LeSean McCoy,840,200,2,7,0,34,45,22.5,4,2012,0
Ryan Mathews,707,184,1,1,0,31,34,18.5,2,2012,0
DeAngelo Williams,737,173,5,5,2,65,32,18.5,2,2012,0
LeSean McCoy,1607,314,9,9,3,57,79,25.2,1,2013,1
Marshawn Lynch,1257,301,12,6,1,43,68,22.6,3,2013,1
Matt Forte,1339,289,9,9,4,55,74,25.6,2,2013,1
Ryan Mathews,1255,285,6,7,2,51,54,19.0,2,2013,0
Eddie Lacy,1178,284,11,3,2,60,61,21.5,1,2013,0
Chris Johnson,1077,279,6,5,0,30,54,19.4,2,2013,0
Adrian Peterson,1266,279,10,8,3,78,59,21.2,3,2013,1
Frank Gore,1128,276,9,9,1,51,55,19.9,3,2013,1
Alfred Morris,1275,276,7,10,1,45,57,20.6,5,2013,0
Jamaal Charles,1287,259,12,6,1,46,72,27.8,4,2013,1
Zac Stacy,973,250,7,5,1,40,47,18.8,1,2013,0
Le'Veon Bell,860,244,8,4,1,43,48,19.7,1,2013,0
Knowshon Moreno,1038,241,10,5,0,31,53,22.0,1,2013,0
Maurice Jones-Drew,803,234,5,5,2,48,43,18.4,1,2013,0
Reggie Bush,1006,223,4,6,0,39,46,20.6,5,2013,0
BenJarvus Green-Ellis,756,220,7,1,0,25,48,21.8,2,2013,0
Rashard Mendenhall,687,217,8,1,0,28,43,19.8,4,2013,0
DeMarco Murray,1121,217,9,8,3,43,59,27.2,2,2013,0
Ray Rice,660,214,4,1,1,47,28,13.1,2,2013,0
Fred Jackson,890,206,9,1,1,59,54,26.2,2,2013,0
C.J. Spiller,933,202,2,9,4,77,26,12.9,4,2013,0
DeAngelo Williams,843,201,3,6,1,43,35,17.4,1,2013,0
Trent Richardson,563,188,3,1,0,22,28,14.9,2,2013,0
Chris Ivory,833,182,3,8,2,69,34,18.7,2,2013,0
Ben Tate,771,181,4,3,1,60,33,18.2,4,2013,0
DeMarco Murray,1845,392,13,15,3,51,85,21.7,3,2014,1
LeSean McCoy,1319,312,5,9,1,53,67,21.5,3,2014,1
Le'Veon Bell,1361,290,8,8,2,81,73,25.2,0,2014,1
Marshawn Lynch,1306,280,13,7,1,79,65,23.2,1,2014,1
Matt Forte,1038,266,6,1,0,32,63,23.7,1,2014,0
Alfred Morris,1074,265,8,9,0,30,48,18.1,2,2014,0
Arian Foster,1246,260,8,9,3,51,52,20.0,2,2014,1
Frank Gore,1106,255,4,5,1,52,53,20.8,2,2014,0
Eddie Lacy,1139,246,9,8,1,44,58,23.6,3,2014,0
Justin Forsett,1266,235,8,17,3,52,56,23.8,1,2014,0
Mark Ingram,964,226,9,5,0,31,47,20.8,1,2014,0
Joique Bell,860,223,7,5,1,57,43,19.3,5,2014,0
Jeremy Hill,1124,222,9,8,3,85,61,27.5,4,2014,0
Andre Williams,721,217,7,4,2,50,30,13.8,1,2014,0
Lamar Miller,1099,216,8,9,1,97,57,26.4,2,2014,0
Jamaal Charles,1033,206,9,6,2,63,50,24.3,4,2014,1
Andre Ellington,660,201,3,4,0,22,27,13.4,2,2014,0
Chris Ivory,821,198,6,1,1,71,42,21.2,2,2014,0
Steven Jackson,707,190,6,2,1,55,37,19.5,0,2014,0
C.J. Anderson,849,179,8,7,0,27,47,26.3,0,2014,0
Tre Mason,765,179,4,6,1,89,37,20.7,2,2014,0
Jonathan Stewart,809,175,3,4,1,69,42,24.0,2,2014,0
Terrance West,673,171,4,4,0,36,30,17.5,1,2014,0
Alfred Blue,528,169,2,2,1,46,29,17.2,0,2014,0
Giovani Bernard,680,168,5,2,1,89,32,19.0,0,2014,0
Adrian Peterson,1485,327,11,10,4,80,71,21.7,6,2015,1
Doug Martin,1402,288,6,14,4,84,61,21.2,4,2015,1
Latavius Murray,1066,266,6,9,2,54,49,18.4,3,2015,0
Devonta Freeman,1056,265,11,6,0,39,67,25.3,2,2015,1
Frank Gore,967,260,6,5,0,37,44,16.9,4,2015,0
Chris Ivory,1070,247,7,9,2,58,50,20.2,3,2015,0
Jonathan Stewart,989,242,6,4,1,44,41,16.9,3,2015,1
Darren McFadden,1089,239,3,9,2,50,52,21.8,3,2015,0
Todd Gurley,1106,229,10,11,5,71,45,19.6,3,2015,1
Jeremy Hill,794,223,11,1,0,38,45,20.2,3,2015,0
Matt Forte,898,218,4,4,0,27,46,21.1,1,2015,0
Ronnie Hillman,863,207,7,5,1,72,43,20.8,2,2015,0
LeSean McCoy,895,203,3,6,1,48,42,20.7,1,2015,1
Alfred Morris,751,202,1,4,1,48,32,15.8,0,2015,0
DeAngelo Williams,907,200,11,6,2,55,51,25.5,3,2015,0
Chris Johnson,814,196,3,6,2,62,31,15.8,2,2015,0
Rashad Jennings,863,195,3,6,0,38,40,20.5,1,2015,0
Lamar Miller,872,194,8,7,1,85,40,20.6,1,2015,0
DeMarco Murray,702,193,6,5,1,54,47,24.4,2,2015,0
Eddie Lacy,758,187,3,4,0,29,39,20.9,3,2015,0
Isaiah Crowell,706,185,4,5,2,54,34,18.4,0,2015,0
Melvin Gordon,641,184,0,6,0,27,33,17.9,5,2015,0
Alfred Blue,698,183,2,2,1,41,33,18.0,2,2015,0
T.J. Yeldon,740,182,2,4,1,45,25,13.7,0,2015,0
Mark Ingram,769,166,6,5,2,70,44,26.5,1,2015,0
Ezekiel Elliott,1631,322,15,14,3,60,91,28.3,5,2016,1
LeGarrette Blount,1161,299,18,7,3,44,67,22.4,2,2016,0
David Johnson,1239,293,16,6,2,58,72,24.6,5,2016,1
DeMarco Murray,1287,293,9,4,2,75,64,21.8,3,2016,1
Todd Gurley,885,278,6,2,0,24,48,17.3,2,2016,0
Lamar Miller,1073,268,5,7,1,45,52,19.4,2,2016,0
Frank Gore,1025,263,4,1,0,22,50,19.0,2,2016,0
Le'Veon Bell,1268,261,7,4,1,44,69,26.4,3,2016,1
Jay Ajayi,1272,260,8,10,4,62,60,23.1,4,2016,0
Melvin Gordon,997,254,10,7,3,48,61,24.0,2,2016,0
Jordan Howard,1313,252,6,10,2,69,70,27.8,1,2016,0
LeSean McCoy,1267,234,13,11,3,75,55,23.5,3,2016,1
Devonta Freeman,1079,227,11,7,2,75,61,26.9,1,2016,1
Jeremy Hill,839,222,9,5,3,74,42,18.9,0,2016,0
Matt Forte,813,218,7,5,0,32,35,16.1,1,2016,0
Jonathan Stewart,824,218,9,6,1,47,47,21.6,3,2016,0
Carlos Hyde,988,217,6,7,2,47,48,22.1,4,2016,0
Spencer Ware,921,214,3,3,2,46,47,22.0,3,2016,0
Mark Ingram,1043,205,6,4,2,75,49,23.9,2,2016,0
Isaiah Crowell,952,198,7,8,3,85,45,22.7,2,2016,0
Latavius Murray,788,195,12,5,1,42,52,26.7,2,2016,0
Terrance West,774,193,5,5,1,41,35,18.1,2,2016,0
Rashad Jennings,593,181,3,3,0,25,29,16.0,0,2016,0
Devontae Booker,612,174,4,0,0,18,30,17.2,2,2016,0
Rob Kelley,704,168,6,4,2,66,29,17.3,0,2016,0
Le'Veon Bell,1291,321,9,3,0,27,74,23.0,2,2017,1
LeSean McCoy,1138,287,6,12,1,48,55,19.2,3,2017,1
Melvin Gordon,1105,284,8,5,1,87,58,20.4,1,2017,0
Todd Gurley,1305,279,13,8,1,57,66,23.7,5,2017,1
Jordan Howard,1122,276,9,5,3,53,61,22.1,1,2017,0
Kareem Hunt,1327,272,8,12,3,69,60,22.1,1,2017,1
Leonard Fournette,1040,268,9,4,2,90,46,17.2,2,2017,0
Frank Gore,961,261,3,1,0,21,49,18.8,3,2017,0
C.J. Anderson,1007,245,3,7,1,40,47,19.2,1,2017,0
Ezekiel Elliott,983,242,7,5,0,30,55,22.7,1,2017,0
Carlos Hyde,938,240,8,6,1,61,44,18.3,2,2017,0
Lamar Miller,888,238,3,1,0,21,43,18.1,1,2017,0
Mark Ingram,1124,230,12,11,3,72,50,21.7,2,2017,1
Latavius Murray,842,216,8,7,1,46,42,19.4,1,2017,0
Alex Collins,973,212,6,6,1,50,51,24.1,2,2017,0
Jay Ajayi,873,208,1,6,2,71,39,18.8,3,2017,0
Marshawn Lynch,891,207,7,5,1,51,44,21.3,1,2017,0
Isaiah Crowell,853,206,2,5,1,59,38,18.4,1,2017,0
Jonathan Stewart,680,198,6,1,1,60,41,20.7,3,2017,0
Devonta Freeman,865,196,7,5,1,44,48,24.5,4,2017,0
DeMarco Murray,659,184,6,3,1,75,29,15.8,1,2017,0
Dion Lewis,896,180,6,7,1,44,48,26.7,0,2017,0
Joe Mixon,626,178,4,2,0,25,35,19.7,1,2017,0
Bilal Powell,772,178,5,9,4,75,30,16.8,0,2017,0
Derrick Henry,744,176,5,5,2,75,39,22.2,1,2017,0
Ezekiel Elliott,1434,304,6,11,1,41,73,24.0,6,2018,1
Saquon Barkley,1307,261,11,16,7,78,50,19.2,0,2018,1
David Johnson,940,258,7,2,1,53,51,19.8,2,2018,0
Todd Gurley,1251,256,17,11,0,36,70,27.3,0,2018,1
Adrian Peterson,1042,251,7,5,3,90,47,18.7,2,2018,0
Jordan Howard,935,250,9,5,1,42,53,21.2,2,2018,0
Chris Carson,1151,247,9,8,1,61,61,24.7,3,2018,0
Joe Mixon,1168,237,8,11,3,51,60,25.3,0,2018,0
Peyton Barber,871,234,5,4,0,28,41,17.5,1,2018,0
Christian McCaffrey,1098,219,7,6,3,59,53,24.2,2,2018,0
James Conner,973,215,12,9,0,30,56,26.0,3,2018,1
Derrick Henry,1059,215,12,4,2,99,51,23.7,0,2018,0
Lamar Miller,973,210,5,6,2,97,36,17.1,0,2018,0
Sony Michel,931,209,6,4,0,34,54,25.8,1,2018,0
Marlon Mack,908,195,9,7,1,49,50,25.6,1,2018,0
Alvin Kamara,883,194,14,1,1,49,57,29.4,0,2018,0
Nick Chubb,996,192,8,11,4,92,47,24.5,0,2018,0
Phillip Lindsay,1037,192,9,8,3,65,49,25.5,0,2018,1
Kareem Hunt,824,181,7,7,1,45,46,25.4,0,2018,0
Melvin Gordon,885,175,10,9,0,34,47,26.9,0,2018,1
Carlos Hyde,571,172,5,1,0,22,27,15.7,2,2018,0
Doug Martin,723,172,4,2,0,29,37,21.5,3,2018,0
Tevin Coleman,800,167,4,8,2,65,36,21.6,1,2018,0
LeSean McCoy,514,161,3,3,0,28,22,13.7,0,2018,0
Frank Gore,722,156,0,5,0,39,25,16.0,1,2018,0
Derrick Henry,1540,303,16,9,3,74,73,24.1,5,2019,1
Ezekiel Elliott,1357,301,12,4,0,33,78,25.9,3,2019,1
Nick Chubb,1494,298,8,11,4,88,62,20.8,2,2019,1
Christian McCaffrey,1387,287,15,6,4,84,56,19.5,1,2019,1
Chris Carson,1230,278,7,8,1,59,75,27.0,6,2019,0
Joe Mixon,1137,278,5,6,1,41,56,20.1,0,2019,0
Leonard Fournette,1152,265,3,7,4,81,55,20.8,0,2019,0
Dalvin Cook,1135,250,13,7,2,75,60,24.0,3,2019,1
Marlon Mack,1091,247,8,9,1,63,67,27.1,0,2019,0
Sony Michel,912,247,7,3,0,26,55,22.3,2,2019,0
Le'Veon Bell,789,245,3,0,0,19,36,14.7,0,2019,0
Carlos Hyde,1070,245,6,8,3,58,55,22.4,4,2019,0
Josh Jacobs,1150,242,7,8,2,51,53,21.9,1,2019,0
David Montgomery,889,242,6,3,1,55,50,20.7,2,2019,0
Aaron Jones,1084,236,16,5,2,56,55,23.3,2,2019,0
Phillip Lindsay,1011,224,7,7,1,40,38,17.0,0,2019,0
Todd Gurley,857,223,12,5,0,25,51,22.9,3,2019,0
Saquon Barkley,1003,217,6,8,3,68,45,20.7,0,2019,0
Adrian Peterson,898,211,5,6,0,32,41,19.4,2,2019,0
Mark Ingram,1018,202,10,6,2,53,53,26.2,2,2019,1
Devonta Freeman,656,184,2,3,0,28,31,16.8,2,2019,0
Miles Sanders,818,179,3,5,2,65,30,16.8,2,2019,0
Lamar Jackson,1206,176,7,11,1,47,71,40.3,8,2019,0
Ronald Jones,724,172,6,6,1,49,34,19.8,2,2019,0
Alvin Kamara,797,171,5,5,1,40,32,18.7,3,2019,1
Derrick Henry,2027,378,17,16,4,94,98,25.9,3,2020,1
Dalvin Cook,1557,312,16,6,1,70,91,29.2,4,2020,1
Josh Jacobs,1065,273,12,3,0,28,61,22.3,2,2020,1
David Montgomery,1070,247,8,5,2,80,59,23.9,0,2020,0
Ezekiel Elliott,979,244,6,3,0,31,62,25.4,5,2020,0
James Robinson,1070,240,7,5,1,47,54,22.5,1,2020,0
Kenyan Drake,955,239,10,6,1,69,59,24.7,3,2020,0
Jonathan Taylor,1169,232,11,7,3,62,69,29.7,1,2020,0
Melvin Gordon,986,215,9,5,2,65,46,21.4,2,2020,0
Aaron Jones,1104,201,9,6,4,77,52,25.9,1,2020,1
Kareem Hunt,841,198,6,3,0,33,44,22.2,1,2020,0
Todd Gurley,678,195,9,2,0,35,45,23.1,1,2020,0
Ronald Jones,978,192,7,6,1,98,48,25.0,0,2020,0
Nick Chubb,1067,190,12,12,3,59,55,29.0,1,2020,1
Frank Gore,653,187,2,0,0,17,32,17.1,1,2020,0
Alvin Kamara,932,187,16,7,2,49,58,31.0,1,2020,1
Clyde Edwards-Helaire,803,181,4,3,0,31,39,21.6,0,2020,0
Antonio Gibson,795,170,11,5,1,40,40,23.5,0,2020,0
James Conner,721,169,6,5,1,59,42,24.8,2,2020,0
Mike Davis,642,165,6,2,0,25,38,23.0,1,2020,0
Miles Sanders,867,164,6,4,3,82,39,23.8,4,2020,0
Lamar Jackson,1005,159,7,10,2,50,56,35.2,5,2020,0
Adrian Peterson,604,156,7,4,0,38,34,21.8,0,2020,0
Devin Singletary,687,156,2,3,1,51,40,25.6,1,2020,0
